Região,Número,Título,Autores,Afiliação,Referências,Nº de Referências
Africa,1,"I heal, you heal, we heal: integrating Ubuntu in music therapy for healthcare in South Africa",Karen de Kock,"University of Pretoria, South Africa","Chisale, S. S. (2018). Ubuntu as care: Deconstructing",1
Africa,2,Singing the same song: a survey of music therapy contexts in Africa,,,,0
Africa,3,"Music, Music Therapy, and Peacebuilding in Sudan",,,,0
Africa,4,The Efficacy of Bonny Method of Guided Imagery and Music of Burnout,,,,0
Asia,5,Actions and Reflections of the Education and Certification Commission of the World Federation of Music Therapy,,,,0
Asia,6,Dealing with Auditory Sensory Issues with Music Animation in Children with ASD,,,,0
Asia,7,Establishing Music Therapy Through Prevailing Cultural and Societal Challenges Amidst COVID-19 Pandemic,,,,0
Asia,8,The influence of Gendhing Gambir Sawit on the anxiety of Indonesian students,,,,0
Asia,9,Joint action routine with music for child with autism spectrum disorders,,,,0
Asia,10,What are the measures and outcomes used in music therapy for dementia?,,,,0
Asia,11,Clinical improvisation: why use this drum? Comparing the psychological effects of percussion,,,,0
Asia,12,Development of Nordoff-Robbins music therapy training and practice in Asian countries,,,,0
Asia,13,Understanding the potential for harm in music therapy practice,,,,0
Asia,14,"Outdoor music therapy activities for young children, caregivers, and college child-care students",,,,0
Asia,15,Exploring a practitioner-centered view of music therapy research,,,,0
Asia,16,Where and how are music therapists working for children in Japan?,,,,0
Asia,17,Impact of Musical Attention Control Training on Attention in Autism Spectrum Disorder,,,,0
Asia,18,Individual Music Therapy for a Child with Developmental Disabilities in Pre-Language Period,,,,0
Asia,19,Training of Basic Piano Skills for Elderly: Application of Occupational Therapy Approaches,,,,0
Asia,20,Reflection and Perspectives of NICU Music Therapy Early Practice in Japan,,,,0
Asia,21,Singing for Hypokinetic Dysarthria with Reference to Behavioral Approach: Case Report,,,,0
Asia,22,"Online Vocal Intervention for Respiration, Phonation, and Swallowing of Individuals with Parkinson’s Disease Patients",,,,0
Asia,23,Self Disclosure for Myself and Someone Else: «Tojisha» Study (Study of Party) on a Music Therapist,,,,0
Asia,24,The Music Therapy for Elderly People: The Effectiveness of a Singing Program Focusing on Six Oral Functions,,,,0
Asia,25,Music Therapy Crises Support: Perspectives from the WFMT Global Crises Intervention Commission,,,,0
Asia,26,"Moving Music Therapy Forward in Malaysia: Insights, Strategies & Future Trends",,,,0
Asia,27,The Music-Based Attention Test and Emotion-Perception Test for Individuals with Developmental Disability,,,,0
Asia,28,M-TALK: Music-Based Social and Communication Training Platform for Individuals with Developmental Disability,,,,0
Asia,29,Development of Online Music Psychotherapy Protocol for Adolescents on Probation or Suspension of Prosecution,,,,0
Asia,30,Music Therapy: Applying Korean Traditional Music and the Therapeutic Characteristics of Folk Songs,,,,0
Asia,31,Experiences of Music Therapists in the Clinical Practice Post-COVID-19,,,,0
Asia,32,A Qualitative Interpretive Meta-Synthesis Study on Music Therapy Experiences of Cancer Patients,,,,0
