time,eventType,data
0.000000,chordChange,C
0.000000,melodyChange,C
0.000000,enemySpawn,null
0.500000,chordChange,E
0.500000,melodyChange,E
0.500000,enemySpawn,null
1.000000,chordChange,G
1.000000,melodyChange,G
1.000000,enemySpawn,null
1.500000,chordChange,B
1.500000,melodyChange,B
1.500000,enemySpawn,null
2.000000,chordChange,C
2.000000,melodyChange,C
2.000000,enemySpawn,null
2.500000,chordChange,D
2.500000,melodyChange,D
2.500000,enemySpawn,null
3.000000,chordChange,F#
3.000000,melodyChange,F#
3.000000,enemySpawn,null
3.500000,chordChange,A
3.500000,melodyChange,A
3.500000,enemySpawn,null
4.000000,chordChange,A
4.000000,enemySpawn,null
4.500000,chordChange,C
4.500000,melodyChange,C
4.500000,enemySpawn,null
5.000000,chordChange,E
5.000000,melodyChange,E
5.000000,enemySpawn,null
5.500000,chordChange,G
5.500000,melodyChange,G
5.500000,enemySpawn,null
6.000000,chordChange,A
6.000000,melodyChange,A
6.000000,enemySpawn,null
6.500000,chordChange,C
6.500000,melodyChange,C
6.500000,enemySpawn,null
7.000000,chordChange,D
7.000000,melodyChange,D
7.000000,enemySpawn,null
7.500000,chordChange,F#
7.500000,melodyChange,F#
7.500000,enemySpawn,null
8.000000,chordChange,A
8.000000,melodyChange,A
8.000000,enemySpawn,null
8.500000,chordChange,C
8.500000,melodyChange,C
8.500000,enemySpawn,null
9.000000,chordChange,E
9.000000,melodyChange,E
9.000000,enemySpawn,null
9.500000,chordChange,G
9.500000,melodyChange,G
9.500000,enemySpawn,null
10.000000,chordChange,A
10.000000,melodyChange,A
10.000000,enemySpawn,null
10.500000,chordChange,C
10.500000,melodyChange,C
10.500000,enemySpawn,null
11.000000,chordChange,D
11.000000,melodyChange,D
11.000000,enemySpawn,null
11.500000,chordChange,F#
11.500000,melodyChange,F#
11.500000,enemySpawn,null
12.000000,chordChange,E
12.000000,melodyChange,E
12.000000,enemySpawn,null
12.500000,chordChange,A
12.500000,melodyChange,A
12.500000,enemySpawn,null
13.000000,chordChange,C
13.000000,melodyChange,C
13.000000,enemySpawn,null
13.500000,chordChange,D
13.500000,melodyChange,D
13.500000,enemySpawn,null
14.000000,chordChange,F#
14.000000,melodyChange,F#
14.000000,enemySpawn,null
14.500000,chordChange,C
14.500000,melodyChange,C
14.500000,enemySpawn,null
15.000000,chordChange,E
15.000000,melodyChange,E
15.000000,enemySpawn,null
15.500000,chordChange,G
15.500000,melodyChange,G
15.500000,enemySpawn,null
16.000000,chordChange,B
16.000000,melodyChange,B
16.000000,enemySpawn,null
16.500000,chordChange,C
16.500000,melodyChange,C
16.500000,enemySpawn,null
17.000000,chordChange,D
17.000000,melodyChange,D
17.000000,enemySpawn,null
17.500000,chordChange,F#
17.500000,melodyChange,F#
17.500000,enemySpawn,null
18.000000,chordChange,A
18.000000,melodyChange,A
18.000000,enemySpawn,null
18.500000,chordChange,A
18.500000,enemySpawn,null
19.000000,chordChange,C
19.000000,melodyChange,C
19.000000,enemySpawn,null
19.500000,chordChange,E
