nome,localizacao,salario,link,latitude,longitude
LinkedInLinkedIn,Online,N/A,https://www.linkedin.com/company/stellarh,0,0
AI Program Manager,Mexico and Costa Rica,$187k USD yearly,https://app.high5hire.com/career/jobs/846518817/recruiter/1191625959,0,0
AI Project Coordinator,Mexico and Costa Rica,$120k USD yearly,https://app.high5hire.com/career/jobs/555898773/recruiter/1191625959,0,0
Power BI Developer, United Arab Emirates,N/A,https://app.high5hire.com/career/jobs/585078267/recruiter/1191625959,0,0
Sharepoint Developer, United Arab Emirates,N/A,https://app.high5hire.com/career/jobs/597472533/recruiter/1191625959,0,0
SAP Group Reporting Consultant, United Arab Emirates,N/A,https://app.high5hire.com/career/jobs/810138720/recruiter/1191625959,0,0
SAP FICA Functional Consultant, United Arab Emirates,N/A,https://app.high5hire.com/career/jobs/499711281/recruiter/1191625959,0,0
SAP S/4 HANA CS&CMM Functional Consultant, United Arab Emirates,N/A,https://app.high5hire.com/career/jobs/756769666/recruiter/1191625959,0,0
SAP ISU Functional Consultant, United Arab Emirates,N/A,https://app.high5hire.com/career/jobs/384960865/recruiter/1191625959,0,0
SAP Sr SD Functional consultant, United Arab Emirates,N/A,https://app.high5hire.com/career/jobs/483566655/recruiter/1191625959,0,0
SAP FICO FM & FSCM functional, United Arab Emirates,N/A,https://app.high5hire.com/career/jobs/625150640/recruiter/1191625959,0,0
SAP Ariba Consultant,United Arab Emirates,N/A,https://app.high5hire.com/career/jobs/712860878/recruiter/1191625959,0,0
Data Manager, United Arab Emirates,540k to 660k AED yearly,https://app.high5hire.com/career/jobs/926544978/recruiter/1191625959,0,0
Enterprise Architecture Manager, United Arab Emirates,360k to 480k AED yearly,https://app.high5hire.com/career/jobs/764816592/recruiter/1191625959,0,0
Project Management Consultant,South Korea,$400 USD daily,https://app.high5hire.com/career/jobs/733845392/recruiter/1191625959,0,0
Applied Mathematician,Thailand,$19 to $32 USD hourly,https://app.high5hire.com/career/jobs/438399038/recruiter/1191625959,0,0
Coding Expert for AI Training,Thailand,$16 to $33 hourly,https://app.high5hire.com/career/jobs/592999293/recruiter/1191625959,0,0
Applied Mathematician,Japan,$30 to $50 USD hourly,https://app.high5hire.com/career/jobs/504821825/recruiter/1191625959,0,0
Applied Mathematician,Japan,$30 to $40 USD hourly,https://app.high5hire.com/career/jobs/523081147/recruiter/1191625959,0,0
Math Expert for AI Training,Japan,$30 USD hourly,https://app.high5hire.com/career/jobs/310618675/recruiter/1191625959,0,0
Coding Expert for AI Training,Denmark,$20 to $50 hourly,https://app.high5hire.com/career/jobs/866657491/recruiter/1191625959,0,0
Applied Mathematician,Denmark,$30 to $50 USD hourly,https://app.high5hire.com/career/jobs/902046905/recruiter/1191625959,0,0
Applied Mathematician,Denmark,$30 to $50 USD hourly,https://app.high5hire.com/career/jobs/706827672/recruiter/1191625959,0,0
Power Apps Developer, United States,$408 daily,https://app.high5hire.com/career/jobs/786802931/recruiter/1191625959,0,0
Travel Pharmacist, United States,$75 to $90 hourly,https://app.high5hire.com/career/jobs/876390501/recruiter/1191625959,0,0
Travel Pharmacist, United States,$80 to $90 hourly,https://app.high5hire.com/career/jobs/723716698/recruiter/1191625959,0,0
Travel Tech CT, United States,$55 to $70 hourly,https://app.high5hire.com/career/jobs/777210460/recruiter/1191625959,0,0
Travel Tech - Cath Lab, United States,$65 to $80 hourly,https://app.high5hire.com/career/jobs/452606914/recruiter/1191625959,0,0
Travel RN L/D,United States,$55 to $70 hourly,https://app.high5hire.com/career/jobs/334850464/recruiter/1191625959,0,0
Travel RN CVICU,United States,$45 to $60 hourly,https://app.high5hire.com/career/jobs/230439098/recruiter/1191625959,0,0
Travel RN ICU, United States,$50 to $65 hourly,https://app.high5hire.com/career/jobs/885127761/recruiter/1191625959,0,0
Travel RN Telemetry, United States,$60 to $75 hourly,https://app.high5hire.com/career/jobs/209559246/recruiter/1191625959,0,0
Travel RN ER, United States,$50 to $70 hourly,https://app.high5hire.com/career/jobs/305632036/recruiter/1191625959,0,0
